Ind_ID,GENDER,Car_Owner,Propert_Owner,CHILDREN,Annual_income,Type_Income,EDUCATION,Marital_status,Housing_type,Employed_days,Work_Phone,Phone,EMAIL_ID,Type_Occupation,Family_Members,label,Age
5118397,M,N,N,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,-1649,0,0,0,Drivers,2,0,46.9972602739726
5094926,F,Y,Y,0,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-1463,1,0,0,Core staff,2,0,33.35616438356164
5045069,F,N,N,0,112500.0,Working,Secondary / secondary special,Married,House / apartment,-2533,0,0,0,Laborers,2,0,28.339726027397262
5137229,M,Y,N,0,180000.0,Commercial associate,Secondary / secondary special,Married,Municipal apartment,-2696,1,0,0,Drivers,2,0,38.586301369863016
5051161,M,Y,N,1,135000.0,Working,Secondary / secondary special,Married,House / apartment,-866,0,0,0,Laborers,3,1,26.284931506849315
5052661,F,N,Y,0,103500.0,Working,Secondary / secondary special,Married,House / apartment,-564,0,0,1,IT staff,2,1,28.482191780821918
5038814,F,N,Y,0,247500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-746,0,0,0,Unknown,2,0,53.057534246575344
5089658,F,N,N,0,99000.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-370,1,0,0,Core staff,1,0,44.87123287671233
5045828,F,N,Y,0,270000.0,Pensioner,Higher education,Married,House / apartment,365243,0,0,0,Unknown,2,0,61.205479452054796
5029529,M,Y,Y,0,112500.0,Pensioner,Lower secondary,Married,House / apartment,365243,0,1,0,Unknown,2,0,59.50410958904109
5023280,F,Y,Y,0,180000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-2457,0,0,0,Sales staff,2,0,45.75616438356165
5113020,M,Y,Y,0,202500.0,State servant,Secondary / secondary special,Married,House / apartment,-2199,0,0,0,Core staff,2,0,40.06027397260274
5079141,F,N,Y,2,67500.0,Working,Secondary / secondary special,Separated,House / apartment,-3008,1,0,0,Sales staff,3,0,37.99452054794521
5036474,M,Y,N,2,180000.0,Commercial associate,Higher education,Married,House / apartment,-2673,0,0,0,Managers,4,0,43.057534246575344
5126527,F,N,N,0,225000.0,State servant,Secondary / secondary special,Married,With parents,-196,0,1,0,Medicine staff,2,0,33.61369863013699
5024386,F,N,N,0,117000.0,Working,Secondary / secondary special,Married,Municipal apartment,-1281,0,0,0,Sales staff,2,0,36.96986301369863
